x (cm)	y (cm)	sigma_x (cm)	sigma_y (cm)
91	-1.67E+00	0.182	-8.35E-02
91.5	-2.50E+00	0.183	-1.25E-01
92	-3.01E+00	0.184	-1.51E-01
92.5	-3.91E+00	0.185	-1.96E-01
93	-4.15E+00	0.186	-2.08E-01
93.5	-4.93E+00	0.187	-2.47E-01
94	-5.60E+00	0.188	-2.80E-01
94.5	-6.14E+00	0.189	-3.07E-01
95	-6.27E+00	0.19	-3.14E-01
95.5	-6.54E+00	0.191	-3.27E-01
96	-6.46E+00	0.192	-3.23E-01
96.5	-6.62E+00	0.193	-3.31E-01
97	-6.31E+00	0.194	-3.16E-01
97.5	-5.72E+00	0.195	-2.86E-01
98	-5.55E+00	0.196	-2.78E-01
98.5	-5.27E+00	0.197	-2.64E-01
99	-4.40E+00	0.198	-2.20E-01
99.5	-4.07E+00	0.199	-2.04E-01
100	-3.26E+00	0.2	-1.63E-01
